Capitec Bank Statement
Account No: 01186905531

Date | Description | Amount | Balance
01/03/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R5 292,50
01/03/2026 | RENT PAYMENT TO MRS D | -R2 500,00 | R2 792,50
01/03/2026 | SHELL ULTRA CITY | -R116,12 | R2 676,38
02/03/2026 | DEBIT ORDER 1LIFE FUNERAL POLICY | -R89,00 | R2 587,38
02/03/2026 | DIS-CHEM | -R37,45 | R2 549,93
03/03/2026 | SPAR SUPERSPAR | -R241,20 | R2 308,73
05/03/2026 | TOTAL SPORTS | -R144,92 | R2 163,81
07/03/2026 | CASH WITHDRAWAL ATM | -R550,00 | R1 613,81
11/03/2026 | SPAR SUPERSPAR | -R88,56 | R1 525,25
12/03/2026 | COTTON ON | -R49,85 | R1 475,40
17/03/2026 | GAME STORES | -R87,88 | R1 387,52
18/03/2026 | PEP STORES | -R120,55 | R1 266,97
24/03/2026 | CHECKERS HYPER | -R197,66 | R1 069,31
24/03/2026 | NANDOS | -R69,22 | R1 000,09
24/03/2026 | KFC | -R114,11 | R885,98
25/03/2026 | BAYVIEW HOUSEHOLD SERVICES SALARY REF 01202603 | R6 200,00 | R7 085,98
25/03/2026 | STEERS DRIVE THRU | -R61,02 | R7 024,96
25/03/2026 | SPUR STEAK RANCH | -R327,62 | R6 697,34
26/03/2026 | PICK N PAY | -R58,34 | R6 639,00
26/03/2026 | WOOLWORTHS FOOD | -R49,17 | R6 589,83
28/03/2026 | VODACOM PREPAID AIRTIME | -R482,85 | R6 106,98
29/03/2026 | BOLT TRIP | -R43,72 | R6 063,26
29/03/2026 | CASH WITHDRAWAL ATM | -R450,00 | R5 613,26
31/03/2026 | NETFLIX.COM | -R74,47 | R5 538,79
01/04/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R5 531,29
01/04/2026 | RENT PAYMENT TO MRS D | -R2 500,00 | R3 031,29
02/04/2026 | DEBIT ORDER 1LIFE FUNERAL POLICY | -R89,00 | R2 942,29
02/04/2026 | GAME STORES | -R98,74 | R2 843,55
03/04/2026 | SHELL ULTRA CITY | -R102,24 | R2 741,31
05/04/2026 | CARD PURCHASE ROMANS PIZZA | -R52,54 | R2 688,77
05/04/2026 | TAKEALOT.COM | -R292,26 | R2 396,51
06/04/2026 | WOOLWORTHS FOOD | -R70,67 | R2 325,84
08/04/2026 | BOXER SUPERSTORES | -R52,65 | R2 273,19
09/04/2026 | TOTAL SPORTS | -R162,32 | R2 110,87
10/04/2026 | DIS-CHEM | -R87,58 | R2 023,29
11/04/2026 | ENGEN FUEL | -R12,00 | R2 011,29
12/04/2026 | CARD PURCHASE ROMANS PIZZA | -R237,50 | R1 773,79
12/04/2026 | WOOLWORTHS FOOD | -R135,72 | R1 638,07
14/04/2026 | BOXER SUPERSTORES | -R80,15 | R1 557,92
17/04/2026 | PAYMENT FROM T MOKOENA | R350,00 | R1 907,92
18/04/2026 | MR PRICE | -R193,75 | R1 714,17
18/04/2026 | KFC | -R60,62 | R1 653,55
20/04/2026 | CASH WITHDRAWAL ATM | -R350,00 | R1 303,55
21/04/2026 | KFC | -R114,33 | R1 189,22
21/04/2026 | CASH WITHDRAWAL ATM | -R300,00 | R889,22
22/04/2026 | CHECKERS HYPER | -R116,81 | R772,41
24/04/2026 | BAYVIEW HOUSEHOLD SERVICES SALARY REF 01202604 | R6 200,00 | R6 972,41
25/04/2026 | AVIS RENT-A-CAR | -R118,30 | R6 854,11
27/04/2026 | ENGEN FUEL | -R58,13 | R6 795,98
28/04/2026 | ENGEN FUEL | -R134,40 | R6 661,58
28/04/2026 | CASH WITHDRAWAL ATM | -R350,00 | R6 311,58
29/04/2026 | NETFLIX.COM | -R137,07 | R6 174,51
29/04/2026 | TAKEALOT.COM | -R51,00 | R6 123,51
01/05/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R6 116,01
01/05/2026 | RENT PAYMENT TO MRS D | -R2 500,00 | R3 616,01
01/05/2026 | BOLT TRIP | -R28,74 | R3 587,27
01/05/2026 | PEP STORES | -R130,79 | R3 456,48
02/05/2026 | DEBIT ORDER 1LIFE FUNERAL POLICY | -R89,00 | R3 367,48
03/05/2026 | CHECKERS HYPER | -R103,91 | R3 263,57
04/05/2026 | MR PRICE | -R135,03 | R3 128,54
05/05/2026 | MR PRICE | -R26,96 | R3 101,58
07/05/2026 | CHECKERS HYPER | -R56,25 | R3 045,33
08/05/2026 | CHECKERS HYPER | -R132,59 | R2 912,74
08/05/2026 | SHOPRITE | -R123,33 | R2 789,41
08/05/2026 | PAYMENT FROM T MOKOENA | R350,00 | R3 139,41
09/05/2026 | TOTAL SPORTS | -R45,15 | R3 094,26
12/05/2026 | BOXER SUPERSTORES | -R21,04 | R3 073,22
12/05/2026 | PEP STORES | -R66,15 | R3 007,07
14/05/2026 | GAME STORES | -R319,86 | R2 687,21
14/05/2026 | DIS-CHEM | -R54,51 | R2 632,70
20/05/2026 | CLICKS | -R89,89 | R2 542,81
21/05/2026 | NETFLIX.COM | -R80,78 | R2 462,03
21/05/2026 | NANDOS | -R34,06 | R2 427,97
21/05/2026 | CLICKS | -R189,66 | R2 238,31
22/05/2026 | CLICKS | -R70,38 | R2 167,93
24/05/2026 | CASH WITHDRAWAL ATM | -R1 000,00 | R1 167,93
25/05/2026 | BAYVIEW HOUSEHOLD SERVICES SALARY REF 01202605 | R6 200,00 | R7 367,93
25/05/2026 | CHECKERS HYPER | -R154,35 | R7 213,58
26/05/2026 | TAKEALOT.COM | -R51,09 | R7 162,49
26/05/2026 | POS PURCHASE BETHLEHEM SPAR | -R217,72 | R6 944,77
28/05/2026 | CHECKERS HYPER | -R17,92 | R6 926,85
28/05/2026 | SHELL ULTRA CITY | -R157,69 | R6 769,16
31/05/2026 | SHOPRITE | -R60,76 | R6 708,40
01/06/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R6 700,90
01/06/2026 | RENT PAYMENT TO MRS D | -R2 500,00 | R4 200,90
02/06/2026 | DEBIT ORDER 1LIFE FUNERAL POLICY | -R89,00 | R4 111,90
02/06/2026 | BOLT TRIP | -R62,35 | R4 049,55
04/06/2026 | MAKRO | -R56,10 | R3 993,45
05/06/2026 | CLICKS | -R118,81 | R3 874,64
10/06/2026 | GAME STORES | -R260,40 | R3 614,24
10/06/2026 | NANDOS | -R147,53 | R3 466,71
10/06/2026 | SPAR SUPERSPAR | -R102,80 | R3 363,91
11/06/2026 | SPUR STEAK RANCH | -R94,43 | R3 269,48
12/06/2026 | SHOPRITE | -R32,54 | R3 236,94
13/06/2026 | TOTAL SPORTS | -R86,78 | R3 150,16
14/06/2026 | AVIS RENT-A-CAR | -R149,80 | R3 000,36
15/06/2026 | CHECKERS HYPER | -R257,76 | R2 742,60
16/06/2026 | ENGEN FUEL | -R177,72 | R2 564,88
16/06/2026 | TOTAL SPORTS | -R123,81 | R2 441,07
19/06/2026 | PICK N PAY | -R106,29 | R2 334,78
22/06/2026 | POS PURCHASE BETHLEHEM SPAR | -R21,00 | R2 313,78
23/06/2026 | SPUR STEAK RANCH | -R88,41 | R2 225,37
24/06/2026 | CASH WITHDRAWAL ATM | -R1 000,00 | R1 225,37
25/06/2026 | BAYVIEW HOUSEHOLD SERVICES SALARY REF 01202606 | R6 200,00 | R7 425,37
