FNB Cheque Account Statement
Account Number: 02709972917

Date,Description,Amount,Balance
01/03/2026,MONTHLY ACCOUNT FEE,-109.00,7491.00
01/03/2026,RENT LANDLORD MTHEMBU,-3200.00,4291.00
01/03/2026,SHELL ULTRA CITY,-123.84,4167.16
02/03/2026,DEBIT ORDER MTN CONTRACT,-299.00,3868.16
03/03/2026,DEBIT ORDER OUTSURANCE,-410.00,3458.16
03/03/2026,CAPFIN LOAN INSTALMENT,-780.00,2678.16
03/03/2026,SPUR STEAK RANCH,-188.25,2489.91
05/03/2026,SHELL ULTRA CITY,-81.78,2408.13
05/03/2026,GAME STORES,-23.20,2384.93
07/03/2026,TAKEALOT.COM,-253.46,2131.47
07/03/2026,BOXER SUPERSTORES,-46.96,2084.51
14/03/2026,FNB ATM CASH WITHDRAWAL,-300.00,1784.51
15/03/2026,BOXER SUPERSTORES,-92.60,1691.91
20/03/2026,SPUR STEAK RANCH,-238.31,1453.60
20/03/2026,MR PRICE,-181.76,1271.84
20/03/2026,MR PRICE,-216.14,1055.70
20/03/2026,COTTON ON,-144.48,911.22
26/03/2026,NETFLIX.COM,-64.27,846.95
26/03/2026,PICK N PAY,-86.21,760.74
27/03/2026,BOXER SUPERSTORES,-150.12,610.62
30/03/2026,UMKHONTO PROTECTION SERVICES SALARY REF 02202603,8900.00,9510.62
30/03/2026,SHOPRITE,-321.08,9189.54
30/03/2026,COTTON ON,-219.01,8970.53
30/03/2026,FNB ATM CASH WITHDRAWAL,-750.00,8220.53
31/03/2026,CLICKS,-247.64,7972.89
01/04/2026,MONTHLY ACCOUNT FEE,-109.00,7863.89
01/04/2026,RENT LANDLORD MTHEMBU,-3200.00,4663.89
02/04/2026,DEBIT ORDER MTN CONTRACT,-299.00,4364.89
02/04/2026,WOOLWORTHS FOOD,-224.15,4140.74
03/04/2026,DEBIT ORDER OUTSURANCE,-410.00,3730.74
03/04/2026,CAPFIN LOAN INSTALMENT,-780.00,2950.74
03/04/2026,SPAR SUPERSPAR,-159.38,2791.36
07/04/2026,TAKEALOT.COM,-88.82,2702.54
08/04/2026,GAME STORES,-97.99,2604.55
08/04/2026,MR PRICE,-76.68,2527.87
14/04/2026,NANDOS,-88.09,2439.78
14/04/2026,FNB ATM CASH WITHDRAWAL,-500.00,1939.78
15/04/2026,CARD PURCHASE ROMANS PIZZA,-39.73,1900.05
15/04/2026,PAYMENT FROM T MOKOENA,350.00,2250.05
16/04/2026,CLICKS,-107.70,2142.35
16/04/2026,FNB ATM CASH WITHDRAWAL,-550.00,1592.35
17/04/2026,CHECKERS HYPER,-144.78,1447.57
19/04/2026,TAKEALOT.COM,-15.84,1431.73
20/04/2026,CLICKS,-109.26,1322.47
24/04/2026,NANDOS,-144.83,1177.64
24/04/2026,BOLT TRIP,-160.23,1017.41
24/04/2026,WOOLWORTHS FOOD,-69.51,947.90
25/04/2026,NANDOS,-52.73,895.17
25/04/2026,VODACOM PREPAID AIRTIME,-58.17,837.00
26/04/2026,SPUR STEAK RANCH,-159.54,677.46
27/04/2026,POS PURCHASE BETHLEHEM SPAR,-45.10,632.36
27/04/2026,COTTON ON,-195.30,437.06
28/04/2026,GAME STORES,-577.57,-140.51
29/04/2026,TOTAL SPORTS,-65.57,-206.08
30/04/2026,UMKHONTO PROTECTION SERVICES SALARY REF 02202604,8900.00,8693.92
01/05/2026,MONTHLY ACCOUNT FEE,-109.00,8584.92
01/05/2026,RENT LANDLORD MTHEMBU,-3200.00,5384.92
02/05/2026,DEBIT ORDER MTN CONTRACT,-299.00,5085.92
02/05/2026,CLICKS,-136.49,4949.43
03/05/2026,DEBIT ORDER OUTSURANCE,-410.00,4539.43
03/05/2026,CAPFIN LOAN INSTALMENT,-780.00,3759.43
05/05/2026,BOLT TRIP,-253.60,3505.83
05/05/2026,MR PRICE,-281.47,3224.36
06/05/2026,CARD PURCHASE ROMANS PIZZA,-69.83,3154.53
06/05/2026,STEERS DRIVE THRU,-263.68,2890.85
11/05/2026,SHOPRITE,-144.33,2746.52
12/05/2026,TAKEALOT.COM,-78.08,2668.44
16/05/2026,MAKRO,-108.06,2560.38
16/05/2026,PAYMENT FROM T MOKOENA,350.00,2910.38
17/05/2026,NANDOS,-247.46,2662.92
21/05/2026,DIS-CHEM,-49.82,2613.10
23/05/2026,CARD PURCHASE ROMANS PIZZA,-371.54,2241.56
26/05/2026,BOXER SUPERSTORES,-159.55,2082.01
27/05/2026,FNB ATM CASH WITHDRAWAL,-1050.00,1032.01
28/05/2026,PEP STORES,-130.32,901.69
28/05/2026,MAKRO,-107.86,793.83
29/05/2026,UMKHONTO PROTECTION SERVICES SALARY REF 02202605,8900.00,9693.83
30/05/2026,TOTAL SPORTS,-210.17,9483.66
31/05/2026,MR PRICE,-66.03,9417.63
01/06/2026,MONTHLY ACCOUNT FEE,-109.00,9308.63
01/06/2026,RENT LANDLORD MTHEMBU,-3200.00,6108.63
01/06/2026,PEP STORES,-166.53,5942.10
02/06/2026,DEBIT ORDER MTN CONTRACT,-299.00,5643.10
02/06/2026,MR PRICE,-68.72,5574.38
03/06/2026,DEBIT ORDER OUTSURANCE,-410.00,5164.38
03/06/2026,CAPFIN LOAN INSTALMENT,-780.00,4384.38
03/06/2026,FNB ATM CASH WITHDRAWAL,-350.00,4034.38
04/06/2026,FNB ATM CASH WITHDRAWAL,-350.00,3684.38
06/06/2026,FNB ATM CASH WITHDRAWAL,-350.00,3334.38
07/06/2026,CLICKS,-100.66,3233.72
07/06/2026,PAYMENT FROM T MOKOENA,350.00,3583.72
09/06/2026,CLICKS,-40.33,3543.39
09/06/2026,ENGEN FUEL,-368.09,3175.30
10/06/2026,DIS-CHEM,-64.47,3110.83
12/06/2026,SPUR STEAK RANCH,-36.55,3074.28
14/06/2026,TAKEALOT.COM,-181.59,2892.69
14/06/2026,CLICKS,-146.49,2746.20
17/06/2026,KFC,-65.20,2681.00
17/06/2026,SHOPRITE,-510.85,2170.15
17/06/2026,BOLT TRIP,-41.87,2128.28
18/06/2026,MR PRICE,-26.23,2102.05
19/06/2026,COTTON ON,-13.08,2088.97
22/06/2026,CARD PURCHASE ROMANS PIZZA,-136.19,1952.78
23/06/2026,CARD PURCHASE ROMANS PIZZA,-47.49,1905.29
24/06/2026,CARD PURCHASE ROMANS PIZZA,-114.43,1790.86
24/06/2026,NETFLIX.COM,-70.10,1720.76
25/06/2026,KFC,-159.21,1561.55
30/06/2026,UMKHONTO PROTECTION SERVICES SALARY REF 02202606,8900.00,10461.55
30/06/2026,NETFLIX.COM,-322.80,10138.75
01/07/2026,MONTHLY ACCOUNT FEE,-109.00,10029.75
01/07/2026,RENT LANDLORD MTHEMBU,-3200.00,6829.75
01/07/2026,DIS-CHEM,-112.29,6717.46
01/07/2026,GAME STORES,-58.65,6658.81
01/07/2026,NANDOS,-138.38,6520.43
01/07/2026,NANDOS,-108.44,6411.99
02/07/2026,DEBIT ORDER MTN CONTRACT,-299.00,6112.99
02/07/2026,PEP STORES,-87.64,6025.35
03/07/2026,DEBIT ORDER OUTSURANCE,-410.00,5615.35
03/07/2026,CAPFIN LOAN INSTALMENT,-780.00,4835.35
08/07/2026,ENGEN FUEL,-86.14,4749.21
08/07/2026,PAYMENT FROM T MOKOENA,350.00,5099.21
14/07/2026,BOLT TRIP,-25.83,5073.38
14/07/2026,TOTAL SPORTS,-49.06,5024.32
15/07/2026,PICK N PAY,-267.67,4756.65
15/07/2026,STEERS DRIVE THRU,-235.26,4521.39
16/07/2026,AVIS RENT-A-CAR,-28.95,4492.44
16/07/2026,PEP STORES,-44.02,4448.42
17/07/2026,VODACOM PREPAID AIRTIME,-14.25,4434.17
17/07/2026,FNB ATM CASH WITHDRAWAL,-350.00,4084.17
19/07/2026,CLICKS,-59.52,4024.65
20/07/2026,SPAR SUPERSPAR,-158.86,3865.79
