Standard Bank - Transaction History
Account: 03881803769

Date,Details,Debit,Credit,Balance
01/05/2026,MONTHLY ACCOUNT FEE,119.00,,"4,181.00"
01/05/2026,RENT PAYMENT FLAT 4B,"3,000.00",,"1,181.00"
02/05/2026,DEBIT ORDER CELL C,249.00,,932.00
02/05/2026,ATM CASH WITHDRAWAL,300.00,,632.00
02/05/2026,HOLLYWOODBETS,296.17,,335.83
03/05/2026,WONGA LOAN REPAYMENT,650.00,,-314.17
04/05/2026,MAKRO,68.00,,-382.17
04/05/2026,ENGEN FUEL,253.53,,-635.70
05/05/2026,UBER TRIP,24.88,,-660.58
05/05/2026,WOOLWORTHS FOOD,664.75,,"-1,325.33"
06/05/2026,CHECKERS UMHLANGA,132.74,,"-1,458.07"
06/05/2026,PEP STORES,106.35,,"-1,564.42"
08/05/2026,TAKEALOT.COM,60.67,,"-1,625.09"
08/05/2026,LOTTO ONLINE,76.21,,"-1,701.30"
09/05/2026,CLICKS,94.67,,"-1,795.97"
10/05/2026,TAKEALOT.COM,165.88,,"-1,961.85"
10/05/2026,AVIS RENT-A-CAR,44.01,,"-2,005.86"
11/05/2026,SHOPRITE,66.40,,"-2,072.26"
11/05/2026,BETWAY DEPOSIT,231.91,,"-2,304.17"
12/05/2026,GAME STORES,92.56,,"-2,396.73"
13/05/2026,CARD PURCHASE ROMANS PIZZA,54.20,,"-2,450.93"
13/05/2026,BETWAY DEPOSIT,61.85,,"-2,512.78"
14/05/2026,PEP STORES,71.01,,"-2,583.79"
14/05/2026,ATM CASH WITHDRAWAL,200.00,,"-2,783.79"
14/05/2026,PAYMENT FROM T MOKOENA,,350.00,"-2,433.79"
16/05/2026,STEERS DRIVE THRU,52.06,,"-2,485.85"
16/05/2026,SPAR SUPERSPAR,139.12,,"-2,624.97"
18/05/2026,DIS-CHEM,20.87,,"-2,645.84"
18/05/2026,BOLT TRIP,94.32,,"-2,740.16"
20/05/2026,MAKRO,128.43,,"-2,868.59"
