Absa Bank Limited - Statement of Account
Account number 04142167651

Transaction Date,Description,Amount (R),Balance (R)
01/03/2026,MONTHLY ACCOUNT FEE,"-99,00","10 401,00"
01/03/2026,RENT SEAVIEW FLATS,"-4 500,00","5 901,00"
02/03/2026,DEBIT ORDER TELKOM FIBRE,"-599,00","5 302,00"
03/03/2026,DEBIT ORDER SANLAM POLICY,"-320,00","4 982,00"
04/03/2026,DEBIT ORDER DISCOVERY MEDICAL AID,"-1 650,00","3 332,00"
04/03/2026,DIS-CHEM,"-321,95","3 010,05"
05/03/2026,TITHE - GRACE FAMILY CHURCH,"-1 240,00","1 770,05"
05/03/2026,VODACOM PREPAID AIRTIME,"-115,80","1 654,25"
06/03/2026,ABSA ATM CASH WITHDRAWAL,"-750,00","904,25"
10/03/2026,SHOPRITE,"-93,90","810,35"
10/03/2026,UBER TRIP,"-502,78","307,57"
10/03/2026,PICK N PAY,"-298,15","9,42"
12/03/2026,PAYMENT FROM T MOKOENA,"350,00","359,42"
15/03/2026,TAKEALOT.COM,"-178,55","180,87"
16/03/2026,VODACOM PREPAID AIRTIME,"-40,70","140,17"
19/03/2026,KFC,"-207,97","-67,80"
23/03/2026,BOLT TRIP,"-260,82","-328,62"
23/03/2026,UBER TRIP,"-73,80","-402,42"
23/03/2026,WOOLWORTHS FOOD,"-44,60","-447,02"
23/03/2026,ABSA ATM CASH WITHDRAWAL,"-250,00","-697,02"
25/03/2026,DOLPHIN COAST LOGISTICS SALARY REF 04202603,"12 400,00","11 702,98"
25/03/2026,ENGEN FUEL,"-44,74","11 658,24"
25/03/2026,SPAR SUPERSPAR,"-353,88","11 304,36"
26/03/2026,TAKEALOT.COM,"-146,40","11 157,96"
29/03/2026,MAKRO,"-54,71","11 103,25"
01/04/2026,MONTHLY ACCOUNT FEE,"-99,00","11 004,25"
01/04/2026,RENT SEAVIEW FLATS,"-4 500,00","6 504,25"
02/04/2026,DEBIT ORDER TELKOM FIBRE,"-599,00","5 905,25"
03/04/2026,DEBIT ORDER SANLAM POLICY,"-320,00","5 585,25"
03/04/2026,PEP STORES,"-58,59","5 526,66"
04/04/2026,DEBIT ORDER DISCOVERY MEDICAL AID,"-1 650,00","3 876,66"
04/04/2026,DIS-CHEM,"-55,29","3 821,37"
04/04/2026,KFC,"-140,79","3 680,58"
05/04/2026,TITHE - GRACE FAMILY CHURCH,"-1 240,00","2 440,58"
05/04/2026,WOOLWORTHS FOOD,"-134,10","2 306,48"
05/04/2026,CARD PURCHASE ROMANS PIZZA,"-77,74","2 228,74"
05/04/2026,NETFLIX.COM,"-47,13","2 181,61"
06/04/2026,MAKRO,"-70,71","2 110,90"
07/04/2026,BOXER SUPERSTORES,"-78,88","2 032,02"
08/04/2026,NANDOS,"-64,70","1 967,32"
09/04/2026,TOTAL SPORTS,"-115,64","1 851,68"
10/04/2026,SHOPRITE,"-234,71","1 616,97"
12/04/2026,COTTON ON,"-234,79","1 382,18"
13/04/2026,ABSA ATM CASH WITHDRAWAL,"-400,00","982,18"
14/04/2026,CLICKS,"-115,61","866,57"
14/04/2026,ABSA ATM CASH WITHDRAWAL,"-300,00","566,57"
15/04/2026,VODACOM PREPAID AIRTIME,"-191,69","374,88"
16/04/2026,STEERS DRIVE THRU,"-253,34","121,54"
17/04/2026,CARD PURCHASE ROMANS PIZZA,"-176,58","-55,04"
18/04/2026,MR PRICE,"-80,53","-135,57"
19/04/2026,VODACOM PREPAID AIRTIME,"-137,51","-273,08"
22/04/2026,SPAR SUPERSPAR,"-24,00","-297,08"
23/04/2026,BOXER SUPERSTORES,"-45,96","-343,04"
24/04/2026,DOLPHIN COAST LOGISTICS SALARY REF 04202604,"12 400,00","12 056,96"
24/04/2026,BOXER SUPERSTORES,"-35,78","12 021,18"
26/04/2026,STEERS DRIVE THRU,"-57,41","11 963,77"
26/04/2026,ABSA ATM CASH WITHDRAWAL,"-250,00","11 713,77"
27/04/2026,MR PRICE,"-64,12","11 649,65"
28/04/2026,WOOLWORTHS FOOD,"-244,57","11 405,08"
01/05/2026,MONTHLY ACCOUNT FEE,"-99,00","11 306,08"
01/05/2026,RENT SEAVIEW FLATS,"-4 500,00","6 806,08"
02/05/2026,DEBIT ORDER TELKOM FIBRE,"-599,00","6 207,08"
03/05/2026,DEBIT ORDER SANLAM POLICY,"-320,00","5 887,08"
04/05/2026,DEBIT ORDER DISCOVERY MEDICAL AID,"-1 650,00","4 237,08"
04/05/2026,PICK N PAY,"-63,17","4 173,91"
05/05/2026,TITHE - GRACE FAMILY CHURCH,"-1 240,00","2 933,91"
06/05/2026,CLICKS,"-97,51","2 836,40"
06/05/2026,COTTON ON,"-234,46","2 601,94"
06/05/2026,SHELL ULTRA CITY,"-70,55","2 531,39"
15/05/2026,STEERS DRIVE THRU,"-298,14","2 233,25"
15/05/2026,UBER TRIP,"-349,63","1 883,62"
17/05/2026,POS PURCHASE BETHLEHEM SPAR,"-207,50","1 676,12"
19/05/2026,BOLT TRIP,"-88,56","1 587,56"
20/05/2026,NANDOS,"-31,68","1 555,88"
22/05/2026,NETFLIX.COM,"-77,06","1 478,82"
23/05/2026,WOOLWORTHS FOOD,"-284,50","1 194,32"
23/05/2026,COTTON ON,"-242,76","951,56"
24/05/2026,ABSA ATM CASH WITHDRAWAL,"-250,00","701,56"
25/05/2026,DOLPHIN COAST LOGISTICS SALARY REF 04202605,"12 400,00","13 101,56"
25/05/2026,ABSA ATM CASH WITHDRAWAL,"-700,00","12 401,56"
26/05/2026,STEERS DRIVE THRU,"-57,96","12 343,60"
26/05/2026,BOLT TRIP,"-142,12","12 201,48"
26/05/2026,SPAR SUPERSPAR,"-302,34","11 899,14"
29/05/2026,SPAR SUPERSPAR,"-186,96","11 712,18"
01/06/2026,MONTHLY ACCOUNT FEE,"-99,00","11 613,18"
01/06/2026,RENT SEAVIEW FLATS,"-4 500,00","7 113,18"
