Capitec Bank Statement
Account No: 06999168168

Date | Description | Amount | Balance
01/03/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R15 992,50
01/03/2026 | RENT PAYMENT GLENWOOD | -R6 500,00 | R9 492,50
02/03/2026 | DEBIT ORDER OUTSURANCE POLICY | -R649,00 | R8 843,50
03/03/2026 | DEBIT ORDER VODACOM CONTRACT | -R499,00 | R8 344,50
03/03/2026 | PERSONAL LOAN REPAYMENT AFRICAN BANK | -R1 450,00 | R6 894,50
04/03/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R2 100,00 | R4 794,50
04/03/2026 | WOOLWORTHS FOOD | -R286,43 | R4 508,07
05/03/2026 | MAINTENANCE PAYMENT S DLAMINI | -R1 500,00 | R3 008,07
05/03/2026 | SPAR SUPERSPAR | -R117,87 | R2 890,20
06/03/2026 | BOLT TRIP | -R123,35 | R2 766,85
09/03/2026 | MR PRICE | -R88,63 | R2 678,22
10/03/2026 | UBER TRIP | -R76,54 | R2 601,68
11/03/2026 | PICK N PAY | -R115,57 | R2 486,11
12/03/2026 | SPUR STEAK RANCH | -R99,43 | R2 386,68
12/03/2026 | CHECKERS UMHLANGA | -R229,93 | R2 156,75
14/03/2026 | CASH WITHDRAWAL ATM | -R950,00 | R1 206,75
15/03/2026 | ENGEN FUEL | -R482,63 | R724,12
15/03/2026 | SHOPRITE | -R63,54 | R660,58
15/03/2026 | MR PRICE | -R92,92 | R567,66
16/03/2026 | CLICKS | -R361,97 | R205,69
18/03/2026 | NANDOS | -R549,46 | -R343,77
18/03/2026 | MR PRICE | -R149,14 | -R492,91
20/03/2026 | UBER TRIP | -R212,48 | -R705,39
20/03/2026 | DIS-CHEM | -R123,75 | -R829,14
24/03/2026 | AVIS RENT-A-CAR | -R145,49 | -R974,63
25/03/2026 | COASTAL CARE HOSPITAL GROUP SALARY REF 06202603 | R18 500,00 | R17 525,37
26/03/2026 | SPUR STEAK RANCH | -R43,09 | R17 482,28
27/03/2026 | BOLT TRIP | -R93,82 | R17 388,46
29/03/2026 | PNP UMLAZI MEGA CITY | -R77,94 | R17 310,52
31/03/2026 | WOOLWORTHS FOOD | -R175,97 | R17 134,55
01/04/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R17 127,05
01/04/2026 | RENT PAYMENT GLENWOOD | -R6 500,00 | R10 627,05
01/04/2026 | BOLT TRIP | -R213,32 | R10 413,73
02/04/2026 | DEBIT ORDER OUTSURANCE POLICY | -R649,00 | R9 764,73
02/04/2026 | PEP STORES | -R50,83 | R9 713,90
03/04/2026 | DEBIT ORDER VODACOM CONTRACT | -R499,00 | R9 214,90
03/04/2026 | PERSONAL LOAN REPAYMENT AFRICAN BANK | -R1 450,00 | R7 764,90
04/04/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R2 100,00 | R5 664,90
04/04/2026 | MR PRICE | -R107,48 | R5 557,42
05/04/2026 | MAINTENANCE PAYMENT S DLAMINI | -R1 500,00 | R4 057,42
05/04/2026 | PNP UMLAZI MEGA CITY | -R182,11 | R3 875,31
07/04/2026 | SPAR KLOOF | -R239,49 | R3 635,82
07/04/2026 | NETFLIX.COM | -R177,01 | R3 458,81
08/04/2026 | SPAR KLOOF | -R243,74 | R3 215,07
09/04/2026 | TAKEALOT.COM | -R69,80 | R3 145,27
10/04/2026 | POS PURCHASE BETHLEHEM SPAR | -R46,76 | R3 098,51
12/04/2026 | TOTAL SPORTS | -R182,94 | R2 915,57
13/04/2026 | UBER TRIP | -R115,02 | R2 800,55
15/04/2026 | ENGEN FUEL | -R76,02 | R2 724,53
15/04/2026 | WOOLWORTHS FOOD | -R42,53 | R2 682,00
15/04/2026 | CARD PURCHASE ROMANS PIZZA | -R75,62 | R2 606,38
16/04/2026 | WOOLWORTHS FOOD | -R681,43 | R1 924,95
18/04/2026 | PICK N PAY | -R169,63 | R1 755,32
19/04/2026 | TOTAL SPORTS | -R401,44 | R1 353,88
20/04/2026 | CASH WITHDRAWAL ATM | -R950,00 | R403,88
24/04/2026 | COASTAL CARE HOSPITAL GROUP SALARY REF 06202604 | R18 500,00 | R18 903,88
25/04/2026 | CHECKERS UMHLANGA | -R89,90 | R18 813,98
26/04/2026 | PICK N PAY | -R109,64 | R18 704,34
