Absa Bank Limited - Statement of Account
Account number 08403329046

Transaction Date,Description,Amount (R),Balance (R)
01/03/2026,MONTHLY ACCOUNT FEE,"-99,00","11 901,00"
01/03/2026,RENT MUSGRAVE COURT,"-7 000,00","4 901,00"
01/03/2026,POS PURCHASE BETHLEHEM SPAR,"-72,51","4 828,49"
01/03/2026,NANDOS,"-77,59","4 750,90"
02/03/2026,DEBIT ORDER SANTAM CAR INSURANCE,"-1 290,00","3 460,90"
02/03/2026,CARD PURCHASE ROMANS PIZZA,"-171,26","3 289,64"
02/03/2026,TOTAL SPORTS,"-112,99","3 176,65"
03/03/2026,DEBIT ORDER RAIN 5G,"-599,00","2 577,65"
03/03/2026,MFC VEHICLE FINANCE,"-4 200,00","-1 622,35"
03/03/2026,TAKEALOT.COM,"-153,11","-1 775,46"
07/03/2026,WOOLWORTHS FOOD,"-72,64","-1 848,10"
08/03/2026,COTTON ON,"-46,44","-1 894,54"
09/03/2026,COTTON ON,"-167,85","-2 062,39"
11/03/2026,GAME STORES,"-80,45","-2 142,84"
11/03/2026,SPAR SUPERSPAR,"-123,71","-2 266,55"
11/03/2026,MR PRICE,"-75,96","-2 342,51"
12/03/2026,MAKRO,"-44,01","-2 386,52"
13/03/2026,NANDOS,"-89,14","-2 475,66"
13/03/2026,CARD PURCHASE ROMANS PIZZA,"-79,08","-2 554,74"
15/03/2026,PEP STORES,"-154,36","-2 709,10"
17/03/2026,STEERS DRIVE THRU,"-34,77","-2 743,87"
22/03/2026,MR PRICE,"-324,55","-3 068,42"
23/03/2026,VODACOM PREPAID AIRTIME,"-53,54","-3 121,96"
23/03/2026,KFC,"-255,09","-3 377,05"
25/03/2026,KINGFISHER PHARMA DISTRIBUTION SALARY REF 08202603,"15 370,85","11 993,80"
25/03/2026,PICK N PAY,"-102,43","11 891,37"
25/03/2026,CLICKS,"-269,66","11 621,71"
26/03/2026,ABSA ATM CASH WITHDRAWAL,"-950,00","10 671,71"
27/03/2026,SPUR STEAK RANCH,"-214,66","10 457,05"
27/03/2026,ENGEN FUEL,"-56,21","10 400,84"
28/03/2026,TOTAL SPORTS,"-60,92","10 339,92"
01/04/2026,MONTHLY ACCOUNT FEE,"-99,00","10 240,92"
01/04/2026,RENT MUSGRAVE COURT,"-7 000,00","3 240,92"
01/04/2026,CLICKS,"-121,01","3 119,91"
01/04/2026,POS PURCHASE BETHLEHEM SPAR,"-38,81","3 081,10"
02/04/2026,DEBIT ORDER SANTAM CAR INSURANCE,"-1 290,00","1 791,10"
03/04/2026,DEBIT ORDER RAIN 5G,"-599,00","1 192,10"
03/04/2026,MFC VEHICLE FINANCE,"-4 200,00","-3 007,90"
03/04/2026,WOOLWORTHS FOOD,"-41,04","-3 048,94"
13/04/2026,SPUR STEAK RANCH,"-176,88","-3 225,82"
14/04/2026,PICK N PAY,"-178,79","-3 404,61"
15/04/2026,SHOPRITE,"-126,54","-3 531,15"
16/04/2026,ABSA ATM CASH WITHDRAWAL,"-950,00","-4 481,15"
19/04/2026,CHECKERS HYPER,"-199,03","-4 680,18"
22/04/2026,MR PRICE,"-165,31","-4 845,49"
24/04/2026,KINGFISHER PHARMA DISTRIBUTION SALARY REF 08202604,"9 600,00","4 754,51"
24/04/2026,TAKEALOT.COM,"-525,33","4 229,18"
25/04/2026,CHECKERS HYPER,"-91,90","4 137,28"
26/04/2026,BOXER SUPERSTORES,"-191,53","3 945,75"
26/04/2026,AVIS RENT-A-CAR,"-214,00","3 731,75"
28/04/2026,NETFLIX.COM,"-231,63","3 500,12"
29/04/2026,NANDOS,"-76,81","3 423,31"
30/04/2026,STEERS DRIVE THRU,"-118,66","3 304,65"
30/04/2026,SHOPRITE,"-71,82","3 232,83"
30/04/2026,AVIS RENT-A-CAR,"-227,38","3 005,45"
30/04/2026,SPAR SUPERSPAR,"-91,79","2 913,66"
01/05/2026,MONTHLY ACCOUNT FEE,"-99,00","2 814,66"
01/05/2026,RENT MUSGRAVE COURT,"-7 000,00","-4 185,34"
01/05/2026,CARD PURCHASE ROMANS PIZZA,"-96,73","-4 282,07"
02/05/2026,DEBIT ORDER SANTAM CAR INSURANCE,"-1 290,00","-5 572,07"
02/05/2026,BOLT TRIP,"-102,02","-5 674,09"
02/05/2026,SHOPRITE,"-96,95","-5 771,04"
03/05/2026,DEBIT ORDER RAIN 5G,"-599,00","-6 370,04"
03/05/2026,MFC VEHICLE FINANCE,"-4 200,00","-10 570,04"
03/05/2026,VODACOM PREPAID AIRTIME,"-48,33","-10 618,37"
07/05/2026,SPUR STEAK RANCH,"-64,50","-10 682,87"
08/05/2026,NETFLIX.COM,"-152,50","-10 835,37"
09/05/2026,MR PRICE,"-112,80","-10 948,17"
10/05/2026,AVIS RENT-A-CAR,"-319,40","-11 267,57"
10/05/2026,VODACOM PREPAID AIRTIME,"-76,69","-11 344,26"
11/05/2026,CLICKS,"-34,46","-11 378,72"
13/05/2026,ABSA ATM CASH WITHDRAWAL,"-450,00","-11 828,72"
14/05/2026,ENGEN FUEL,"-253,99","-12 082,71"
14/05/2026,SPAR SUPERSPAR,"-76,49","-12 159,20"
15/05/2026,MR PRICE,"-27,74","-12 186,94"
16/05/2026,NETFLIX.COM,"-281,37","-12 468,31"
16/05/2026,SPAR SUPERSPAR,"-228,03","-12 696,34"
16/05/2026,UBER TRIP,"-181,95","-12 878,29"
16/05/2026,ABSA ATM CASH WITHDRAWAL,"-500,00","-13 378,29"
