FNB Cheque Account Statement
Account Number: 09559990269

Date,Description,Amount,Balance
01/03/2026,MONTHLY ACCOUNT FEE,-109.00,23891.00
01/03/2026,RENTAL PAYMENT UMHLANGA RIDGE,-8500.00,15391.00
01/03/2026,FNB ATM CASH WITHDRAWAL,-450.00,14941.00
02/03/2026,DEBIT ORDER AFRIHOST FIBRE,-899.00,14042.00
03/03/2026,DEBIT ORDER DISCOVERY LIFE POLICY,-1100.00,12942.00
03/03/2026,CREDIT CARD PAYMENT,-3500.00,9442.00
04/03/2026,PLANET FITNESS DEBIT ORDER,-429.00,9013.00
04/03/2026,BOLT TRIP,-308.09,8704.91
04/03/2026,COTTON ON,-71.92,8632.99
04/03/2026,STEERS DRIVE THRU,-871.35,7761.64
04/03/2026,FNB ATM CASH WITHDRAWAL,-700.00,7061.64
05/03/2026,WESTERN UNION REMITTANCE,-2500.00,4561.64
11/03/2026,NANDOS,-178.40,4383.24
11/03/2026,NANDOS,-510.53,3872.71
12/03/2026,UBER TRIP,-138.96,3733.75
12/03/2026,BOXER SUPERSTORES,-136.36,3597.39
13/03/2026,STEERS DRIVE THRU,-1276.35,2321.04
15/03/2026,UBER TRIP,-69.79,2251.25
17/03/2026,KFC,-92.05,2159.20
17/03/2026,PAYMENT FROM T MOKOENA,350.00,2509.20
20/03/2026,MR PRICE,-168.57,2340.63
21/03/2026,SPAR KLOOF,-121.80,2218.83
21/03/2026,VODACOM PREPAID AIRTIME,-113.18,2105.65
21/03/2026,SPAR KLOOF,-322.81,1782.84
22/03/2026,SPUR STEAK RANCH,-719.50,1063.34
23/03/2026,NETFLIX.COM,-178.41,884.93
25/03/2026,HARBOUR SYSTEMS (PTY) LTD SALARY REF 09202603,28000.00,28884.93
26/03/2026,PAYMENT TO SAVINGS POCKET,-2000.00,26884.93
28/03/2026,WOOLWORTHS SANDTON,-138.67,26746.26
30/03/2026,AVIS RENT-A-CAR,-250.10,26496.16
31/03/2026,PICK N PAY,-201.20,26294.96
31/03/2026,NETFLIX.COM,-304.99,25989.97
01/04/2026,MONTHLY ACCOUNT FEE,-109.00,25880.97
01/04/2026,RENTAL PAYMENT UMHLANGA RIDGE,-8500.00,17380.97
01/04/2026,SPAR SUPERSPAR,-106.44,17274.53
02/04/2026,DEBIT ORDER AFRIHOST FIBRE,-899.00,16375.53
03/04/2026,DEBIT ORDER DISCOVERY LIFE POLICY,-1100.00,15275.53
03/04/2026,CREDIT CARD PAYMENT,-3500.00,11775.53
