Standard Bank - Transaction History
Account: 10220675020

Date,Details,Debit,Credit,Balance
01/03/2026,MONTHLY ACCOUNT FEE,119.00,,"29,881.00"
01/03/2026,RENT PAYMENT LA LUCIA,"11,000.00",,"18,881.00"
01/03/2026,ENGEN FUEL,168.48,,"18,712.52"
02/03/2026,DEBIT ORDER OUTSURANCE,"1,450.00",,"17,262.52"
02/03/2026,PEP STORES,124.39,,"17,138.13"
03/03/2026,DEBIT ORDER MOMENTUM RETIREMENT ANNUITY,"2,500.00",,"14,638.13"
03/03/2026,BMW FINANCE INSTALMENT,"6,900.00",,"7,738.13"
03/03/2026,TAKEALOT.COM,985.09,,"6,753.04"
04/03/2026,DEBIT ORDER DSTV PREMIUM,929.00,,"5,824.04"
06/03/2026,MR PRICE,442.50,,"5,381.54"
06/03/2026,KFC,613.55,,"4,767.99"
06/03/2026,TOTAL SPORTS,76.54,,"4,691.45"
07/03/2026,KFC,37.91,,"4,653.54"
13/03/2026,GAME STORES,64.73,,"4,588.81"
14/03/2026,BOLT TRIP,305.98,,"4,282.83"
14/03/2026,TOTAL SPORTS,128.38,,"4,154.45"
15/03/2026,MR PRICE,153.66,,"4,000.79"
15/03/2026,NANDOS,156.06,,"3,844.73"
16/03/2026,MR PRICE,50.22,,"3,794.51"
19/03/2026,SHOPRITE,97.31,,"3,697.20"
19/03/2026,CARD PURCHASE ROMANS PIZZA,69.52,,"3,627.68"
22/03/2026,BOXER SUPERSTORES,230.93,,"3,396.75"
22/03/2026,WOOLWORTHS FOOD,150.60,,"3,246.15"
23/03/2026,WOOLWORTHS FOOD,62.61,,"3,183.54"
25/03/2026,MARLIN CHARTERED ACCOUNTANTS SALARY REF 10202603,,"35,000.00","38,183.54"
25/03/2026,SPUR STEAK RANCH,80.14,,"38,103.40"
25/03/2026,KFC,54.19,,"38,049.21"
26/03/2026,PAYMENT TO SAVINGS POCKET,"4,000.00",,"34,049.21"
27/03/2026,UBER TRIP,123.71,,"33,925.50"
27/03/2026,SHELL ULTRA CITY,50.12,,"33,875.38"
27/03/2026,DIS-CHEM,157.41,,"33,717.97"
28/03/2026,WOOLWORTHS FOOD,158.02,,"33,559.95"
28/03/2026,ATM CASH WITHDRAWAL,"1,050.00",,"32,509.95"
29/03/2026,CLICKS,236.01,,"32,273.94"
30/03/2026,PEP STORES,325.14,,"31,948.80"
30/03/2026,MAKRO,160.85,,"31,787.95"
01/04/2026,MONTHLY ACCOUNT FEE,119.00,,"31,668.95"
01/04/2026,RENT PAYMENT LA LUCIA,"11,000.00",,"20,668.95"
01/04/2026,KFC,536.19,,"20,132.76"
