Absa Bank Limited - Statement of Account
Account number 11224642999

Transaction Date,Description,Amount (R),Balance (R)
01/03/2026,MONTHLY ACCOUNT FEE,"-99,00","-8 099,00"
01/03/2026,RENT PAYMENT HILLCREST ESTATE,"-14 000,00","-22 099,00"
01/03/2026,CARD PURCHASE ROMANS PIZZA,"-874,34","-22 973,34"
02/03/2026,DEBIT ORDER LIBERTY POLICY,"-1 800,00","-24 773,34"
02/03/2026,ABSA ATM CASH WITHDRAWAL,"-550,00","-25 323,34"
03/03/2026,DEBIT ORDER VODACOM,"-1 299,00","-26 622,34"
03/03/2026,WESBANK VEHICLE FINANCE,"-9 800,00","-36 422,34"
03/03/2026,BOLT TRIP,"-398,62","-36 820,96"
04/03/2026,DEBIT ORDER VIRGIN ACTIVE,"-999,00","-37 819,96"
04/03/2026,PERSONAL LOAN REPAYMENT NEDBANK,"-4 200,00","-42 019,96"
04/03/2026,POS PURCHASE BETHLEHEM SPAR,"-222,08","-42 242,04"
04/03/2026,VODACOM PREPAID AIRTIME,"-230,97","-42 473,01"
04/03/2026,STEERS DRIVE THRU,"-87,29","-42 560,30"
05/03/2026,STEERS DRIVE THRU,"-322,74","-42 883,04"
06/03/2026,TOTAL SPORTS,"-366,11","-43 249,15"
08/03/2026,AVIS RENT-A-CAR,"-600,88","-43 850,03"
09/03/2026,NANDOS,"-539,05","-44 389,08"
10/03/2026,CHECKERS HYPER,"-381,84","-44 770,92"
14/03/2026,SPUR STEAK RANCH,"-955,78","-45 726,70"
15/03/2026,NANDOS,"-278,62","-46 005,32"
19/03/2026,ABSA ATM CASH WITHDRAWAL,"-850,00","-46 855,32"
19/03/2026,ABSA ATM CASH WITHDRAWAL,"-850,00","-47 705,32"
21/03/2026,AVIS RENT-A-CAR,"-291,87","-47 997,19"
22/03/2026,SHOPRITE,"-377,63","-48 374,82"
24/03/2026,PICK N PAY,"-1 154,34","-49 529,16"
24/03/2026,KFC,"-397,95","-49 927,11"
25/03/2026,TRIDENT CONSULTING ENGINEERS SALARY REF 11202603,"45 000,00","-4 927,11"
25/03/2026,CLICKS,"-273,74","-5 200,85"
27/03/2026,KFC,"-389,02","-5 589,87"
27/03/2026,SPAR SUPERSPAR,"-1 205,98","-6 795,85"
28/03/2026,VODACOM PREPAID AIRTIME,"-1 111,95","-7 907,80"
29/03/2026,TAKEALOT.COM,"-1 073,59","-8 981,39"
30/03/2026,CARD PURCHASE ROMANS PIZZA,"-438,91","-9 420,30"
31/03/2026,TAKEALOT.COM,"-428,22","-9 848,52"
31/03/2026,TAKEALOT.COM,"-208,65","-10 057,17"
01/04/2026,MONTHLY ACCOUNT FEE,"-99,00","-10 156,17"
01/04/2026,RENT PAYMENT HILLCREST ESTATE,"-14 000,00","-24 156,17"
02/04/2026,DEBIT ORDER LIBERTY POLICY,"-1 800,00","-25 956,17"
02/04/2026,CHECKERS HYPER,"-521,28","-26 477,45"
02/04/2026,AVIS RENT-A-CAR,"-766,70","-27 244,15"
03/04/2026,DEBIT ORDER VODACOM,"-1 299,00","-28 543,15"
03/04/2026,WESBANK VEHICLE FINANCE,"-9 800,00","-38 343,15"
04/04/2026,DEBIT ORDER VIRGIN ACTIVE,"-999,00","-39 342,15"
04/04/2026,PERSONAL LOAN REPAYMENT NEDBANK,"-4 200,00","-43 542,15"
04/04/2026,PEP STORES,"-1 318,29","-44 860,44"
06/04/2026,STEERS DRIVE THRU,"-445,58","-45 306,02"
06/04/2026,SPAR SUPERSPAR,"-229,95","-45 535,97"
09/04/2026,PICK N PAY,"-1 758,46","-47 294,43"
09/04/2026,MR PRICE,"-1 975,62","-49 270,05"
12/04/2026,ENGEN FUEL,"-197,33","-49 467,38"
14/04/2026,NANDOS,"-443,59","-49 910,97"
14/04/2026,PICK N PAY,"-748,82","-50 659,79"
14/04/2026,ABSA ATM CASH WITHDRAWAL,"-900,00","-51 559,79"
15/04/2026,PEP STORES,"-199,51","-51 759,30"
20/04/2026,SHOPRITE,"-283,69","-52 042,99"
22/04/2026,SHELL ULTRA CITY,"-1 269,95","-53 312,94"
22/04/2026,CLICKS,"-129,58","-53 442,52"
24/04/2026,TRIDENT CONSULTING ENGINEERS SALARY REF 11202604,"45 000,00","-8 442,52"
25/04/2026,ABSA ATM CASH WITHDRAWAL,"-750,00","-9 192,52"
26/04/2026,SPUR STEAK RANCH,"-737,44","-9 929,96"
27/04/2026,UBER TRIP,"-720,72","-10 650,68"
28/04/2026,MAKRO,"-523,24","-11 173,92"
29/04/2026,GAME STORES,"-338,78","-11 512,70"
30/04/2026,ABSA ATM CASH WITHDRAWAL,"-600,00","-12 112,70"
01/05/2026,MONTHLY ACCOUNT FEE,"-99,00","-12 211,70"
