Capitec Bank Statement
Account No: 12565847674

Date | Description | Amount | Balance
01/03/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R59 992,50
01/03/2026 | RENT PAYMENT MOUNT EDGECOMBE | -R22 000,00 | R37 992,50
02/03/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R4 800,00 | R33 192,50
03/03/2026 | DEBIT ORDER SANTAM | -R2 100,00 | R31 092,50
03/03/2026 | AUDI FINANCE INSTALMENT | -R12 500,00 | R18 592,50
03/03/2026 | PNP UMLAZI MEGA CITY | -R956,14 | R17 636,36
04/03/2026 | DEBIT ORDER ALLAN GRAY UNIT TRUST | -R8 000,00 | R9 636,36
04/03/2026 | SPAR KLOOF | -R2 693,00 | R6 943,36
05/03/2026 | PICK N PAY | -R622,03 | R6 321,33
07/03/2026 | TOTAL SPORTS | -R615,26 | R5 706,07
07/03/2026 | STEERS DRIVE THRU | -R884,76 | R4 821,31
08/03/2026 | VODACOM PREPAID AIRTIME | -R1 011,85 | R3 809,46
08/03/2026 | TAKEALOT.COM | -R261,57 | R3 547,89
08/03/2026 | PAYMENT FROM T MOKOENA | R350,00 | R3 897,89
10/03/2026 | NETFLIX.COM | -R481,01 | R3 416,88
10/03/2026 | CASH WITHDRAWAL ATM | -R450,00 | R2 966,88
12/03/2026 | PICK N PAY | -R1 230,17 | R1 736,71
13/03/2026 | VODACOM PREPAID AIRTIME | -R204,47 | R1 532,24
14/03/2026 | CASH WITHDRAWAL ATM | -R700,00 | R832,24
15/03/2026 | KFC | -R192,81 | R639,43
15/03/2026 | MAKRO | -R253,00 | R386,43
17/03/2026 | KFC | -R417,05 | -R30,62
17/03/2026 | COTTON ON | -R1 768,75 | -R1 799,37
21/03/2026 | VODACOM PREPAID AIRTIME | -R147,80 | -R1 947,17
23/03/2026 | NETFLIX.COM | -R431,64 | -R2 378,81
23/03/2026 | AVIS RENT-A-CAR | -R388,27 | -R2 767,08
23/03/2026 | SPAR KLOOF | -R550,86 | -R3 317,94
24/03/2026 | MAKRO | -R163,49 | -R3 481,43
24/03/2026 | PNP UMLAZI MEGA CITY | -R565,29 | -R4 046,72
25/03/2026 | RIDGE MEDICAL PARTNERS SALARY REF 12202603 | R85 000,00 | R80 953,28
27/03/2026 | CASH WITHDRAWAL ATM | -R550,00 | R80 403,28
28/03/2026 | MAKRO | -R485,06 | R79 918,22
30/03/2026 | PEP STORES | -R1 392,17 | R78 526,05
31/03/2026 | CARD PURCHASE ROMANS PIZZA | -R1 213,24 | R77 312,81
31/03/2026 | POS PURCHASE BETHLEHEM SPAR | -R80,50 | R77 232,31
01/04/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R77 224,81
01/04/2026 | RENT PAYMENT MOUNT EDGECOMBE | -R22 000,00 | R55 224,81
01/04/2026 | WOOLWORTHS FOOD | -R618,71 | R54 606,10
02/04/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R4 800,00 | R49 806,10
02/04/2026 | TAKEALOT.COM | -R347,59 | R49 458,51
03/04/2026 | DEBIT ORDER SANTAM | -R2 100,00 | R47 358,51
03/04/2026 | AUDI FINANCE INSTALMENT | -R12 500,00 | R34 858,51
03/04/2026 | WOOLWORTHS SANDTON | -R692,76 | R34 165,75
04/04/2026 | DEBIT ORDER ALLAN GRAY UNIT TRUST | -R8 000,00 | R26 165,75
04/04/2026 | CHECKERS HYPER | -R1 176,34 | R24 989,41
04/04/2026 | CASH WITHDRAWAL ATM | -R550,00 | R24 439,41
08/04/2026 | SPUR STEAK RANCH | -R1 076,21 | R23 363,20
09/04/2026 | SHELL ULTRA CITY | -R617,40 | R22 745,80
10/04/2026 | POS PURCHASE BETHLEHEM SPAR | -R55,13 | R22 690,67
10/04/2026 | AVIS RENT-A-CAR | -R221,52 | R22 469,15
10/04/2026 | BOXER SUPERSTORES | -R212,54 | R22 256,61
11/04/2026 | SHELL ULTRA CITY | -R428,37 | R21 828,24
12/04/2026 | TAKEALOT.COM | -R1 016,83 | R20 811,41
12/04/2026 | ENGEN FUEL | -R524,55 | R20 286,86
13/04/2026 | SHELL ULTRA CITY | -R280,46 | R20 006,40
14/04/2026 | STEERS DRIVE THRU | -R1 133,12 | R18 873,28
14/04/2026 | COTTON ON | -R1 591,66 | R17 281,62
15/04/2026 | NANDOS | -R1 414,23 | R15 867,39
15/04/2026 | NETFLIX.COM | -R452,15 | R15 415,24
16/04/2026 | PEP STORES | -R1 052,31 | R14 362,93
16/04/2026 | BOXER SUPERSTORES | -R443,15 | R13 919,78
20/04/2026 | MR PRICE | -R551,28 | R13 368,50
20/04/2026 | SPAR KLOOF | -R244,54 | R13 123,96
20/04/2026 | CASH WITHDRAWAL ATM | -R600,00 | R12 523,96
21/04/2026 | SPAR SUPERSPAR | -R242,99 | R12 280,97
21/04/2026 | MAKRO | -R1 768,00 | R10 512,97
24/04/2026 | RIDGE MEDICAL PARTNERS SALARY REF 12202604 | R85 000,00 | R95 512,97
24/04/2026 | TOTAL SPORTS | -R126,35 | R95 386,62
25/04/2026 | DIS-CHEM | -R234,27 | R95 152,35
28/04/2026 | COTTON ON | -R159,79 | R94 992,56
29/04/2026 | SHOPRITE | -R329,92 | R94 662,64
29/04/2026 | CASH WITHDRAWAL ATM | -R550,00 | R94 112,64
01/05/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R94 105,14
01/05/2026 | RENT PAYMENT MOUNT EDGECOMBE | -R22 000,00 | R72 105,14
01/05/2026 | TAKEALOT.COM | -R290,39 | R71 814,75
01/05/2026 | TAKEALOT.COM | -R1 112,27 | R70 702,48
01/05/2026 | BOLT TRIP | -R725,56 | R69 976,92
02/05/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R4 800,00 | R65 176,92
03/05/2026 | DEBIT ORDER SANTAM | -R2 100,00 | R63 076,92
03/05/2026 | AUDI FINANCE INSTALMENT | -R12 500,00 | R50 576,92
03/05/2026 | VODACOM PREPAID AIRTIME | -R235,40 | R50 341,52
03/05/2026 | WOOLWORTHS SANDTON | -R394,60 | R49 946,92
04/05/2026 | DEBIT ORDER ALLAN GRAY UNIT TRUST | -R8 000,00 | R41 946,92
04/05/2026 | CARD PURCHASE ROMANS PIZZA | -R537,23 | R41 409,69
05/05/2026 | COTTON ON | -R2 207,38 | R39 202,31
06/05/2026 | GAME STORES | -R96,90 | R39 105,41
07/05/2026 | MR PRICE | -R1 744,35 | R37 361,06
07/05/2026 | GAME STORES | -R293,51 | R37 067,55
08/05/2026 | SPAR KLOOF | -R1 011,91 | R36 055,64
09/05/2026 | NETFLIX.COM | -R580,24 | R35 475,40
09/05/2026 | TAKEALOT.COM | -R446,92 | R35 028,48
12/05/2026 | CASH WITHDRAWAL ATM | -R900,00 | R34 128,48
17/05/2026 | ENGEN FUEL | -R348,53 | R33 779,95
17/05/2026 | CASH WITHDRAWAL ATM | -R800,00 | R32 979,95
20/05/2026 | ENGEN FUEL | -R1 984,62 | R30 995,33
22/05/2026 | SHOPRITE | -R2 803,76 | R28 191,57
24/05/2026 | GAME STORES | -R977,99 | R27 213,58
25/05/2026 | RIDGE MEDICAL PARTNERS SALARY REF 12202605 | R85 000,00 | R112 213,58
28/05/2026 | SPAR KLOOF | -R1 216,78 | R110 996,80
01/06/2026 | MONTHLY ACCOUNT FEE | -R7,50 | R110 989,30
01/06/2026 | RENT PAYMENT MOUNT EDGECOMBE | -R22 000,00 | R88 989,30
01/06/2026 | PNP UMLAZI MEGA CITY | -R920,47 | R88 068,83
01/06/2026 | CHECKERS UMHLANGA | -R681,60 | R87 387,23
02/06/2026 | DEBIT ORDER DISCOVERY MEDICAL AID | -R4 800,00 | R82 587,23
02/06/2026 | SPAR KLOOF | -R788,80 | R81 798,43
03/06/2026 | DEBIT ORDER SANTAM | -R2 100,00 | R79 698,43
03/06/2026 | AUDI FINANCE INSTALMENT | -R12 500,00 | R67 198,43
03/06/2026 | CHECKERS UMHLANGA | -R1 638,06 | R65 560,37
04/06/2026 | DEBIT ORDER ALLAN GRAY UNIT TRUST | -R8 000,00 | R57 560,37
04/06/2026 | GAME STORES | -R1 400,86 | R56 159,51
07/06/2026 | NANDOS | -R319,94 | R55 839,57
11/06/2026 | MR PRICE | -R562,72 | R55 276,85
13/06/2026 | PAYMENT FROM T MOKOENA | R350,00 | R55 626,85
15/06/2026 | WOOLWORTHS FOOD | -R636,94 | R54 989,91
15/06/2026 | CASH WITHDRAWAL ATM | -R700,00 | R54 289,91
16/06/2026 | WOOLWORTHS SANDTON | -R1 449,36 | R52 840,55
17/06/2026 | CASH WITHDRAWAL ATM | -R1 000,00 | R51 840,55
18/06/2026 | AVIS RENT-A-CAR | -R941,21 | R50 899,34
20/06/2026 | NANDOS | -R679,21 | R50 220,13
20/06/2026 | CHECKERS HYPER | -R1 576,98 | R48 643,15
21/06/2026 | NANDOS | -R234,37 | R48 408,78
