Standard Bank - Transaction History
Account: 00000000000

Date,Details,Debit,Credit,Balance
01/03/2026,MONTHLY ACCOUNT FEE,119.00,,"18,881.00"
01/03/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"11,381.00"
02/03/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"10,601.00"
02/03/2026,UBER TRIP,27.25,,"10,573.75"
03/03/2026,DEBIT ORDER MTN CONTRACT,649.00,,"9,924.75"
03/03/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"6,034.75"
04/03/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"2,834.75"
06/03/2026,ATM CASH WITHDRAWAL,300.00,,"2,534.75"
08/03/2026,KFC,66.05,,"2,468.70"
08/03/2026,BOLT TRIP,243.20,,"2,225.50"
09/03/2026,WOOLWORTHS FOOD,262.88,,"1,962.62"
09/03/2026,SHOPRITE,88.44,,"1,874.18"
11/03/2026,BOLT TRIP,127.82,,"1,746.36"
11/03/2026,AVIS RENT-A-CAR,68.31,,"1,678.05"
11/03/2026,PICK N PAY,252.18,,"1,425.87"
12/03/2026,MAKRO,203.74,,"1,222.13"
13/03/2026,ATM CASH WITHDRAWAL,400.00,,822.13
14/03/2026,NANDOS,473.83,,348.30
14/03/2026,NANDOS,29.19,,319.11
16/03/2026,SHELL ULTRA CITY,76.02,,243.09
18/03/2026,CHECKERS HYPER,74.55,,168.54
19/03/2026,MR PRICE,172.23,,-3.69
20/03/2026,SHELL ULTRA CITY,98.16,,-101.85
20/03/2026,SPAR SUPERSPAR,15.86,,-117.71
20/03/2026,ATM CASH WITHDRAWAL,400.00,,-517.71
21/03/2026,POS PURCHASE BETHLEHEM SPAR,415.26,,-932.97
23/03/2026,TOTAL SPORTS,174.55,,"-1,107.52"
25/03/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202603,,"22,300.00","21,192.48"
25/03/2026,NETFLIX.COM,51.89,,"21,140.59"
25/03/2026,WOOLWORTHS FOOD,52.05,,"21,088.54"
26/03/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"20,088.54"
26/03/2026,PICK N PAY,258.19,,"19,830.35"
27/03/2026,SHELL ULTRA CITY,81.20,,"19,749.15"
29/03/2026,NETFLIX.COM,44.52,,"19,704.63"
01/04/2026,MONTHLY ACCOUNT FEE,119.00,,"19,585.63"
01/04/2026,RENT PAYMENT WESTVILLE,"7,500.00",,"12,085.63"
01/04/2026,TAKEALOT.COM,451.57,,"11,634.06"
01/04/2026,SHELL ULTRA CITY,183.18,,"11,450.88"
02/04/2026,DEBIT ORDER OLD MUTUAL POLICY,780.00,,"10,670.88"
02/04/2026,SPAR SUPERSPAR,46.44,,"10,624.44"
02/04/2026,SPAR SUPERSPAR,124.13,,"10,500.31"
03/04/2026,DEBIT ORDER MTN CONTRACT,649.00,,"9,851.31"
03/04/2026,WESBANK VEHICLE FINANCE,"3,890.00",,"5,961.31"
03/04/2026,SPAR SUPERSPAR,431.99,,"5,529.32"
04/04/2026,SCHOOL FEES ST JOHNS PREP,"3,200.00",,"2,329.32"
04/04/2026,POS PURCHASE BETHLEHEM SPAR,64.23,,"2,265.09"
04/04/2026,SHELL ULTRA CITY,35.10,,"2,229.99"
05/04/2026,DIS-CHEM,79.61,,"2,150.38"
07/04/2026,MAKRO,57.04,,"2,093.34"
09/04/2026,NETFLIX.COM,228.58,,"1,864.76"
09/04/2026,PAYMENT FROM T MOKOENA,,350.00,"2,214.76"
10/04/2026,MR PRICE,49.22,,"2,165.54"
12/04/2026,STEERS DRIVE THRU,71.44,,"2,094.10"
13/04/2026,SHELL ULTRA CITY,103.65,,"1,990.45"
14/04/2026,STEERS DRIVE THRU,167.84,,"1,822.61"
14/04/2026,SHOPRITE,102.52,,"1,720.09"
15/04/2026,SHOPRITE,45.20,,"1,674.89"
15/04/2026,POS PURCHASE BETHLEHEM SPAR,209.73,,"1,465.16"
17/04/2026,SPAR SUPERSPAR,187.54,,"1,277.62"
20/04/2026,CHECKERS HYPER,37.74,,"1,239.88"
20/04/2026,CHECKERS HYPER,49.23,,"1,190.65"
20/04/2026,VODACOM PREPAID AIRTIME,109.81,,"1,080.84"
22/04/2026,BOXER SUPERSTORES,51.08,,"1,029.76"
24/04/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202604,,"22,300.00","23,329.76"
24/04/2026,WOOLWORTHS FOOD,254.28,,"23,075.48"
25/04/2026,ATM CASH WITHDRAWAL,300.00,,"22,775.48"
25/04/2026,PROVINCIAL EDUCATION DEPARTMENT SALARY REF 07202604,,"22,300.00","45,075.48"
26/04/2026,PAYMENT TO SAVINGS POCKET,"1,000.00",,"44,075.48"
27/04/2026,CHECKERS HYPER,15.34,,"44,060.14"
28/04/2026,BOLT TRIP,57.43,,"44,002.71"
28/04/2026,SPAR SUPERSPAR,141.67,,"43,861.04"
28/04/2026,ATM CASH WITHDRAWAL,450.00,,"43,411.04"
29/04/2026,ATM CASH WITHDRAWAL,350.00,,"43,061.04"
01/05/2026,MONTHLY ACCOUNT FEE,119.00,,"42,942.04"
